標籤 id,標籤名稱,標籤人數,"要被取代/合併的標籤（以半形逗號,分隔）",最後呈現的標籤
1,3888,"65,721",,
2,測試,"124,224",,
2,測試,1,,
3,111,"11,950",,
4,清明節,"65,643",,
5,兒童節,"55,055",,
6,母親節,"71,494",,
8,加工食品,"475,247",,
9,罐頭食品,"48,130",,
10,南北貨,"210,887",,
11,食用油,"73,561",,
12,麵製品,"97,072",,
14,加工飲品,"299,223",,
16,飲料類,"203,185",,
17,沖泡飲品,"215,508",沖泡飲品,沖泡類
22,休閒食品,"177,423",休閒食品,休閒食品類
23,糖果類,"60,396",,
24,餅乾類,"270,601",,
25,酥脆點心,"8,326",,
26,零食類,"196,477",,
27,日配,"294,105",,
28,冷藏乳製品,"52,391",,
31,冷凍食品,"292,372",,
32,蛋品,"64,701",,
33,個人用品,"592,217",,
34,個人清潔保養,"530,832",個人清潔保養,個人清潔保養類
35,棉製品,"276,307",,
36,紡織品,"35,371",,
37,嬰兒用品,"54,638",,
38,家庭用品,"484,601",,
39,寵物專區,"37,043",,
40,家用清潔劑類,"243,506",,
41,家用紙製品,"371,838",,
44,生鮮,"1,792,541",,
45,蔬菜類,"914,397",,
46,鮮魚類,"712,378",,
47,水果類,"900,605",,
48,精肉類,"897,784",,
50,烘焙輕食類,"121,620",,
51,PX Pay,"1,196,064",,
52,PX GO,"1,647,117",PX GO,PXGO
53,We Sweet,"239,167",,
56,OFF COFFEE,"287,348",,
57,Read Bread,"147,521",,
63,大安森林,"48,933",,
64,福利熊,"164,377",,
67,聯合利華-麗仕,"97,935",,
68,嬌聯-蘇菲,"508,968",,
69,聯米-皇家穀堡,"29,102",,
71,佳旺-農心,"1,193",,
72,台灣維達-包大人,"6,139",,
76,耆盛-台南關廟刀削麵,"24,559",,
91,花東製米-天生好米,"89,931",,
92,佳旺-嬌生,"26,999",,
93,聯運-Crystal Valley,"11,594",,
97,佳蘭-西雅圖,"1,003",,
101,普祺樂-台鹽生技,753,,
103,佳旺-露得清,"33,324",,
105,康那香-康乃馨,"28,136",,
106,德恩奈,"139,837",,
108,獅王-藍寶,411,,
110,聯華-viva萬歲牌,"2,851",聯華-viva萬歲牌,聯華-萬歲牌
111,永豐餘-五月花,"85,869",,
114,億滋-奧利奧,"27,635",,
116,大倉-台灣越光米,"139,837",,
122,品冠-449乾麵舖,"2,306",,
127,台糖-台糖,"34,891",,
128,大丹宜-皂福,"27,145",,
130,台灣優生-優生,"18,927",,
132,遠盛-口卡辣姆久,"3,220",,
133,聯合利華-白蘭,"132,807",,
134,太古-舒味思,"2,435",,
135,新竹物流-MCVITIE'S,"11,505",,
139,滿寧-百格仕,"21,923",,
146,毛寶-毛寶,"3,679",,
148,毛寶-全效,"4,281",,
149,宸宇,"6,657",,
150,卜立-御品能量,"12,447",,
152,美商伊潔維-舒適,381,,
155,家宏-古寶,"12,346",,
160,依聯-依必朗,"6,221",,
161,金蘭-金蘭,"20,163",,
170,呈康-錵鑶聖凱師,"8,892",,
